,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
20951,50139628-20230915,50139628,A,50139628,DUNKIN DONUTS,40.86415441,-73.83428825,3,Test,12.16503652,12.16503652,13.79135238,11,,,,,"04L,08A,10F",,,,,1,"04L,08A,10F",20230915,,,,,20230915
20952,50139631-20231130,50139631,A,50139631,RAISING CANE'S 879,40.7298797,-73.9916509,4,Test,7.950252811,7.950252811,9.013103894,7,,,,,02G,,,,,1,02G,20231130,,,,,20231130
20953,50139633-20230814,50139633,A,50139633,TERIYAKI BOWL,40.63305908,-73.88888517,0,Test,2.783646179,2.772328623,3.142954884,3,,,,,10F,,,,,1,10F,20230814,,,,,20230814
20954,50139652-20230906,50139652,A,50139652,DOMINICAN FOOD,40.62670425,-74.16225953,1,Test,10.05703711,10.05703711,11.40153935,11,,,,,"06C,08C,10F",,,,,1,"06C,08C,10F",20230906,,,,,20230906
20955,50139663-20230821,50139663,C,50139663,260S NEW YORK,40.75481025,-73.98998381,3,Test,27.59587112,27.59587112,31.2850999,,,,,,,,,,,,,,,,,,
20956,50139668-20230920,50139668,A,50139668,PUSU,40.71352585,-73.96192607,1,Test,8.253095235,8.253095235,9.356432627,10,,,,,"06C,10F",,,,,1,"06C,10F",20230920,,,,,20230920
20957,50139670-20230919,50139670,A,50139670,DUNKIN,40.78688225,-73.94204412,5,Test,10.09725463,10.09725463,11.44713346,10,,,,,05D,,,,,1,05D,20230919,,,,,20230919
20958,50139671-20230913,50139671,B,50139671,KENNEDY FRIED CHICKEN,40.858648,-73.90371193,3,Test,23.48204193,23.48204193,26.62130231,24,,,,,"04A,04L,04N,08A,10B",,,,,1,"04A,04L,04N,08A,10B",20230913,,,,,20230913
20959,50139672-20230815,50139672,B,50139672,PROTO'S NYC PIZZA,40.72538364,-73.98999186,6,Test,12.27580974,12.27580974,13.91693462,15,,,,,"02B,02I",,,,,1,"02B,02I",20230815,,,,,20230815
20960,50139684-20231030,50139684,A,50139684,SEAGASM,40.65808796,-73.95034515,0,Test,4.894065196,4.9645976,5.628303279,4,,,,,"10B,10F",,,,,1,"10B,10F",20231030,,,,,20231030
