,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
0,30075445-20230822,30075445,A,30075445,MORRIS PARK BAKE SHOP,40.84823122,-73.85597189,3,Test,12.42311584,10.98460082,12.45310694,5,12,,,,06E,"04L,08A,08C",,,,2,"04L,08A,08C",20210810,20230822,,,,20230822
1,30112340-20220713,30112340,A,30112340,WENDY'S,40.66265152,-73.96208137,0,Training,10.3996766,9.165299548,10.39058744,16,11,9,,,"02G,04N,08A","02G,10F","04M,10B",,,3,"04M,10B",20210805,20220713,20230721,,,20230721
2,30191841-20230423,30191841,A,30191841,DJ REYNOLDS PUB AND RESTAURANT,40.76732571,-73.98431042,1,Test,10.54597893,10.54597893,11.95584669,12,10,,,,"06D,10B,10F","06C,06E",,,,2,"06C,06E",20220104,20230423,,,,20230423
3,40356018-20220201,40356018,A,40356018,RIVIERA CATERERS,40.57989566,-73.98208666,4,Training,7.950252811,7.950252811,9.013103894,10,7,,,,"06D,09B,10F",02G,,,,2,02G,20191108,20220201,,,,20220201
4,40356483-20220819,40356483,A,40356483,WILKEN'S FINE FOOD,40.62011159,-73.90698949,0,Training,2.783646179,5.161592902,5.851634431,9,2,,,,"04L,08A",10F,,,,2,10F,20220124,20220819,,,,20220819
5,40356731-20230117,40356731,A,40356731,TASTE THE TROPICS ICE CREAM,40.64079502,-73.94848798,3,Test,10.13345048,10.65540722,12.0799042,13,9,,,,"04N,08A,10F","04M,08A",,,,2,"04M,08A",20210820,20230117,,,,20230117
6,40357217-20190522,40357217,A,40357217,WILD ASIA,40.85053675,-73.88245508,3,Training,9.940121461,9.702185723,10.9992487,10,10,,,,"04L,08A","02G,10I",,,,2,"02G,10I",20190522,20210728,,,,20210728
7,40359480-20191001,40359480,A,40359480,1 EAST 66TH STREET KITCHEN,40.76854691,-73.96958058,0,Training,9.79204619,9.784329116,11.09237366,9,9,,,,"04H,10F","06D,10F",,,,2,"06D,10F",20191001,20220503,,,,20220503
8,40359705-20230426,40359705,A,40359705,NATHAN'S FAMOUS,40.57553687,-73.98165226,4,Test,9.951196187,9.951196187,11.28154881,12,13,,,,"06D,10B,10F","02G,10B",,,,2,"02G,10B",20220210,20230426,,,,20230426
9,40360045-20230131,40360045,A,40360045,SEUDA FOODS,40.60618692,-73.96546645,0,Test,14.5254528,13.17595224,14.9374151,12,13,,,,"02B,10F","04M,08A,10B,10F",,,,2,"04M,08A,10B,10F",20220105,20230131,,,,20230131
10,40361618-20230426,40361618,A,40361618,SAL'S DELI,40.78167384,-73.83941598,3,Test,12.51402224,10.04663876,11.38975087,5,13,,,,06A,"04K,04L,08A,10F",,,,2,"04K,04L,08A,10F",20220201,20230426,,,,20230426
11,40361998-20210811,40361998,A,40361998,STEVE CHU'S DELI & GROCERY,40.76457121,-73.93882546,0,Training,7.950807839,8.913179651,10.10476222,7,12,,,,"06F,10F","04L,08A",,,,2,"04L,08A",20210811,20221212,,,,20221212
12,40362264-20220816,40362264,A,40362264,P & S DELI GROCERY,40.79262064,-73.96770962,3,Training,12.6796283,12.6796283,14.37473876,12,12,,,,"04N,08A,09B","02G,06D",,,,2,"02G,06D",20220816,20230207,,,,20230207
13,40362432-20210722,40362432,A,40362432,HO MEI RESTAURANT,40.75330591,-73.86429538,0,Training,7.952513218,7.935797959,8.996716605,8,8,,,,"06E,10F","06D,10F",,,,2,"06D,10F",20210722,20221025,,,,20221025
14,40362869-20220309,40362869,A,40362869,SHASHEMENE INT'L RESTAURANT,40.65198322,-73.92457494,5,Training,7.031740276,7.031740276,7.971797522,8,,,,,04J,,,,,1,04J,20220309,,,,,20220309
15,40363298-20210729,40363298,A,40363298,CAFE METRO,40.75618542,-73.99056473,3,Training,10.51831913,5.013382262,5.68360985,10,2,,,,"04N,08A",10B,,,,2,10B,20210729,20220902,,,,20220902
16,40363427-20220609,40363427,A,40363427,BAGELS N BUNS,40.61026786,-74.14640121,1,Training,10.54040798,12.68342715,14.37904546,18,12,9,,,"04H,04N,08A","06C,10E,10F","06D,10F",,,3,"06D,10F",20211129,20220609,20230503,,,20230503
17,40363834-20220802,40363834,A,40363834,CARVEL,40.59855313,-74.07964601,5,Training,7.437649302,7.437649302,8.431971596,10,7,,,,"06D,09A,10F","06E,10E",,,,2,"06E,10E",20220302,20220802,,,,20220802
18,40363920-20230426,40363920,A,40363920,NEW GOLDEN BILLION,40.66214059,-73.92718021,0,Test,2.783646179,2.772328623,3.142954884,2,2,,,,10F,10F,,,,2,10F,20220216,20230426,,,,20230426
19,40364220-20231101,40364220,A,40364220,KOSHER BAGEL HOLE,40.62511113,-73.96203434,0,Test,2.783646179,5.289401499,5.996529466,12,13,2,,,"04N,08A","04N,08A,10F",10F,,,3,10F,20210804,20220824,20231101,,,20231101
20,40364296-20220103,40364296,A,40364296,HAPPY GARDEN,40.86364881,-73.89423962,0,Training,12.07883328,11.96630885,13.56605727,11,,,,,"02B,09B,10F",,,,,1,"02B,09B,10F",20220103,,,,,20220103
21,40364305-20230123,40364305,A,40364305,PHILADELPHIA GRILLE EXPRESS,40.61272249,-74.03375177,0,Test,2.783646179,4.632000726,5.251242291,11,3,,,,"02G,10D,10F",10F,,,,2,10F,20210809,20230123,,,,20230123
22,40364335-20230321,40364335,A,40364335,PETER LUGER STEAKHOUSE,40.7099798,-73.96251244,0,Test,10.27535107,10.30672122,11.68460316,7,12,,,,"06D,10F","02B,10F",,,,2,"02B,10F",20220104,20230321,,,,20230321
23,40364347-20220412,40364347,A,40364347,METROPOLITAN CLUB,40.76479552,-73.97230783,0,Training,12.41503378,12.38669966,14.04264916,11,,,,,"04M,08A,10F",,,,,1,"04M,08A,10F",20220412,,,,,20220412
24,40364373-20230206,40364373,A,40364373,ISLE OF CAPRI RESTURANT,40.76270774,-73.96574958,6,Test,7.724897097,7.724897097,8.75762089,10,7,,,,"06D,10B,10I",02B,,,,2,02B,20220216,20230206,,,,20230206
25,40364389-20220720,40364389,A,40364389,OLD TOWN BAR & RESTAURANT,40.73759507,-73.98964721,3,Training,13.0013135,12.75020908,14.45475532,12,9,12,13,,"02G,06D","06D,10F","05D,10D","04N,08A,08C",,4,"04N,08A,08C",20190723,20191209,20210729,20220720,,20220720
26,40364439-20230517,40364439,A,40364439,SEVILLA RESTAURANT,40.73490838,-74.00297329,3,Test,12.27743862,14.58025261,16.52945317,19,12,,,,"04L,06C,08A,08C","04L,08A,10B",,,,2,"04L,08A,10B",20220518,20230517,,,,20230517
27,40364443-20220113,40364443,C,40364443,CRIMINAL COURT BLDG CAFETERIA,40.71607657,-74.0014249,3,Training,23.1983655,20.96149751,23.76379208,18,,,,,"04L,06D,08A,10F",,,,,1,"04L,06D,08A,10F",20221202,,,,,20221202
28,40364449-20220428,40364449,A,40364449,GOTTSCHEER HALL,40.70664797,-73.90573574,3,Training,12.16503652,11.6213372,13.17496714,7,13,,,,04H,"04L,08A,10F",,,,2,"04L,08A,10F",20190723,20220428,,,,20220428
29,40364518-20220928,40364518,A,40364518,7B BAR,40.72498456,-73.98128265,3,Training,10.28910718,10.28910718,11.66463435,10,,,,,"04K,04L,08A",,,,,1,"04K,04L,08A",20220928,,,,,20220928
30,40364572-20230418,40364572,A,40364572,DONOHUE'S STEAK HOUSE,40.76551288,-73.96576979,3,Test,9.940121461,9.940121461,11.26899352,9,,,,,"04L,08A",,,,,1,"04L,08A",20230418,,,,,20230418
31,40364581-20211129,40364581,A,40364581,JUNIOR'S,40.69020015,-73.9816242,1,Training,10.64124574,10.64124574,12.06384951,13,13,,,,"06C,10B,10F","06D,10F,10G",,,,2,"06D,10F,10G",20211129,20230227,,,,20230227
32,40364715-20230323,40364715,A,40364715,OLD HOMESTEAD,40.74137222,-74.00503776,0,Test,12.80934216,12.64176374,14.33181217,12,,,,,"02G,08B,10F",,,,,1,"02G,08B,10F",20230323,,,,,20230323
33,40364744-20231204,40364744,A,40364744,NEW PARK PIZZERIA & RESTAURANT,40.6631017,-73.84083793,3,Test,9.940121461,10.38510447,11.7734653,12,10,,,,"04L,08A,10F","04L,08A",,,,2,"04L,08A",20210805,20231204,,,,20231204
34,40364858-20191120,40364858,A,40364858,DOUGLASTON CLUB,40.77632972,-73.75283544,0,Training,4.894065196,6.976772706,7.909481464,11,11,5,,,"04L,08A,10I","04L,08A,10F","10B,10F",,,3,"10B,10F",20170816,20181025,20191120,,,20191120
35,40364956-20230810,40364956,A,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,40.83061012,-73.84964668,3,Test,12.27743862,12.27743862,13.91878126,12,,,,,"04L,08A,10B",,,,,1,"04L,08A,10B",20230810,,,,,20230810
36,40365013-20230607,40365013,A,40365013,CRYSTAL ROOM,40.59281418,-74.07067712,1,Test,8.253095235,9.71308453,11.01160455,13,8,,,,"04H,06C","06C,10F",,,,2,"06C,10F",20220207,20230607,,,,20230607
37,40365075-20230817,40365075,A,40365075,MCSORLEY'S OLD ALE HOUSE,40.728584,-73.98953677,3,Test,12.27743862,12.27743862,13.91878126,13,12,,,,"04L,08A,10B","04L,08A,10B",,,,2,"04L,08A,10B",20210804,20230817,,,,20230817
38,40365120-20220728,40365120,A,40365120,SOUTH SHORE SWIMMING CLUB,40.50806852,-74.22828215,0,Training,12.3921422,12.39496927,14.05202431,13,,,,,"04A,10F",,,,,1,"04A,10F",20220728,,,,,20220728
39,40365166-20220331,40365166,A,40365166,CORNER BISTRO,40.73792485,-74.00386112,4,Training,12.80484721,12.80484721,14.51669789,13,,,,,"02G,08C,10E,10J",,,,,1,"02G,08C,10E,10J",20220331,,,,,20220331
40,40365264-20230329,40365264,A,40365264,LA GRENOUILLE,40.75965816,-73.97597744,0,Test,10.06122686,10.38707676,11.77570125,13,12,,,,"04N,08A,10B","06F,10B,10F",,,,2,"06F,10B,10F",20210812,20230329,,,,20230329
41,40365288-20200212,40365288,A,40365288,KEATS RESTAURANT,40.75159837,-73.9708949,5,Training,4.499042564,4.499042564,5.100509256,5,,,,,"08C,10H",,,,,1,"08C,10H",20200212,,,,,20200212
42,40365387-20230320,40365387,A,40365387,ARTURO'S,40.72723405,-74.00051594,1,Test,8.253095235,8.152147761,9.241989716,9,7,,,,02G,"06C,10F",,,,2,"06C,10F",20220214,20230320,,,,20230320
43,40365499-20220104,40365499,A,40365499,YANKEE TAVERN,40.82755786,-73.9251412,3,Training,12.27743862,12.27743862,13.91878126,12,,,,,"04L,08A,10B",,,,,1,"04L,08A,10B",20220104,,,,,20220104
44,40365525-20210806,40365525,A,40365525,DONUT PUB,40.73874834,-74.00014434,0,Training,2.783646179,16.31052839,18.49104556,3,26,,,,10F,"02G,04L,06C,08A,08C,10F",,,,2,"02G,04L,06C,08A,08C,10F",20210806,20220623,,,,20220623
45,40365577-20230605,40365577,A,40365577,V & T RESTAURANT,40.80332942,-73.96361191,5,Test,4.808048552,4.808048552,5.450825546,8,5,,,,"06D,10B",10G,,,,2,10G,20220523,20230605,,,,20230605
46,40365627-20200316,40365627,B,40365627,JAHN'S RESTAURANT,40.74965337,-73.88507357,3,Training,10.13345048,20.63667346,23.39554305,18,19,9,,,"04M,08A","04L,06C,06D,08A","06D,10F,10H",,,3,"06D,10F,10H",20200316,20220228,20230221,,,20230221
47,40365644-20220920,40365644,A,40365644,JOE ALLEN RESTAURANT,40.7601789,-73.98888203,0,Training,11.90246521,11.97659809,13.57772205,12,,,,,"04H,10B,10F",,,,,1,"04H,10B,10F",20220920,,,,,20220920
48,40365726-20191211,40365726,A,40365726,BARBETTA RESTAURANT,0,0,6,Training,7.724897097,7.724897097,8.75762089,8,,,,,02B,,,,,1,02B,20191211,,,,,20191211
49,40365784-20220202,40365784,A,40365784,GARGIULO'S RESTAURANT,40.57655533,-73.98258432,5,Training,10.5108478,10.5108478,11.91601896,10,,,,,"02C,06B",,,,,1,"02C,06B",20220202,,,,,20220202
50,40365789-20231228,40365789,A,40365789,PATSY'S ITALIAN RESTAURANT,40.7656182,-73.98239751,0,Test,12.51009561,12.50643141,14.17838758,7,13,,,,"06D,10F","02G,10B,10F",,,,2,"02G,10B,10F",20221228,20231228,,,,20231228
51,40365871-20230502,40365871,A,40365871,NEARY'S PUB,40.75863939,-73.96374832,3,Test,12.16503652,12.29747619,13.9414976,13,13,,,,"04H,06E","04L,08A,10F",,,,2,"04L,08A,10F",20220201,20230502,,,,20230502
52,40365904-20220930,40365904,C,40365904,MEE SUM CAFE,40.71486063,-73.99819997,1,Training,60.227458,50.32928332,57.05768989,24,,,,,"02B,02G,06C,10B,10F",,,,,1,"02B,02G,06C,10B,10F",20211124,,,,,20211124
53,40365942-20220113,40365942,A,40365942,HOP KEE RESTAURANT,40.71436383,-73.99878436,3,Training,10.13345048,11.56168999,13.10734583,11,12,,,,"04M,08A","02B,02I",,,,2,"02B,02I",20220113,20230228,,,,20230228
54,40365968-20220928,40365968,A,40365968,NANCY WHISKEY PUB,40.72053946,-74.00501092,3,Training,9.64733802,9.64733802,10.93706854,10,,,,,"04K,08A",,,,,1,"04K,08A",20220928,,,,,20220928
55,40365972-20210729,40365972,A,40365972,BLARNEY BAR,40.70180334,-73.80867561,5,Training,12.10095109,12.10095109,13.71869952,13,9,,,,"04A,10A","06D,09C,10B",,,,2,"06D,09C,10B",20210729,20221017,,,,20221017
56,40366002-20221219,40366002,A,40366002,MARGHERITA PIZZA,40.70466771,-73.79682288,0,Training,7.997186921,8.790675129,9.965880345,9,9,7,,,"04M,08A","04M,08A","06A,10F",,,3,"06A,10F",20200305,20220128,20221219,,,20221219
57,40366054-20230425,40366054,A,40366054,HEALY'S PUB,40.58173375,-73.83028283,1,Test,10.43260639,10.43260639,11.82731764,12,12,,,,"04H,06D","06C,06D",,,,2,"06C,06D",20220106,20230425,,,,20230425
58,40366132-20240119,40366132,A,40366132,DENINO'S PIZZERIA TAVERN,40.63002441,-74.14016887,5,Test,9.305028276,9.305028276,10.54899619,13,10,,,,"06D,06F,10F","04C,10E",,,,2,"04C,10E",20220228,20240119,,,,20240119
59,40366154-20200107,40366154,B,40366154,MICHAEL'S RESTAURANT,40.60741859,-73.94300363,0,Training,14.96091323,11.43982932,12.96919389,14,10,,,,"04H,06E,10F","02G,09C",,,,2,"02G,09C",20200107,20220407,,,,20220407
60,40366222-20230815,40366222,A,40366222,KILLARNEY ROSE,40.70533871,-74.00869226,0,Test,4.581938141,4.654215351,5.276426738,13,4,,,,"06D,06F,10F","10E,10F",,,,2,"10E,10F",20210730,20230815,,,,20230815
61,40366230-20221122,40366230,C,40366230,DON PEPPE,40.67025824,-73.82097608,3,Training,34.85405545,34.85405545,39.51361426,,,,,,,,,,,,,,,,,,
62,40366471-20230501,40366471,A,40366471,ROLL-N-ROASTER,40.58386661,-73.93969006,0,Test,2.783646179,2.772328623,3.142954884,7,12,,,,"06D,10F","06G,10F",,,,2,"06G,10F",20220310,20230501,,,,20230501
63,40366473-20231205,40366473,A,40366473,TIO PEPE,40.7320566,-74.00144328,5,Test,10.69533645,10.49597584,11.89915881,10,12,,,,05D,"04L,06E",,,,2,"04L,06E",20220707,20231205,,,,20231205
64,40366487-20220103,40366487,A,40366487,BRENNAN & CARR,40.60038588,-73.94189333,0,Training,2.783646179,2.772328623,3.142954884,2,8,,,,10F,"06D,10F",,,,2,"06D,10F",20220103,20230626,,,,20230626
65,40366497-20190624,40366497,A,40366497,THE PUNCH BOWL,40.88520606,-73.90057393,1,Training,8.253095235,11.52769224,13.06880301,11,8,13,,,"04L,08A","06C,10F","04N,08A,10F",,,3,"04N,08A,10F",20190207,20190624,20210805,,,20210805
66,40366543-20200127,40366543,B,40366543,JARDIN DE CHINA REST,40.7507548,-73.87036048,3,Training,19.59802079,16.44327634,18.64154028,24,23,12,,,"02G,04L,04N,08A","02B,04L,08A,10F","04L,08A,10F",,,3,"04L,08A,10F",20200127,20220304,20220720,,,20220720
67,40366574-20231005,40366574,A,40366574,BLARNEY STONE,40.70652394,-74.01384656,0,Test,10.3996766,8.815918744,9.994498721,9,6,11,,,"04H,10F","08C,10F","02G,10F",,,3,"02G,10F",20210804,20220913,20231005,,,20231005
68,40366586-20230215,40366586,A,40366586,SHIMONS KOSHER PIZZA,40.72718118,-73.82209618,6,Test,11.83582397,11.83582397,13.41812815,0,11,,,,"02B,02G,06C,10F","02B,08C,10B",,,,2,"02B,08C,10B",20220929,20230215,,,,20230215
69,40366652-20221220,40366652,A,40366652,FASCATI'S PIZZERIA,40.69844393,-73.99254562,0,Training,2.783646179,4.778842927,5.417715489,12,3,,,,"02B,06C",10F,,,,2,10F,20210803,20221220,,,,20221220
70,40366711-20221013,40366711,B,40366711,LI GRECI'S STAATEN RESTAURANT,40.62947594,-74.11233734,1,Training,19.71051758,18.5870513,21.0719116,9,22,,,,"06A,09B,10B","04C,06C,06D,10F",,,,2,"04C,06C,06D,10F",20191210,20221013,,,,20221013
71,40366716-20220329,40366716,A,40366716,SHUN LEE PALACE RESTAURANT,40.75937665,-73.96948371,5,Training,9.592728591,9.592728591,10.8751585,12,11,,,,"04H,10B","06D,10D,10F",,,,2,"06D,10D,10F",20220329,20230606,,,,20230606
72,40366742-20220322,40366742,A,40366742,TAMAQUA,40.59435177,-73.93015661,0,Training,10.3996766,10.45075022,11.84788707,10,13,,,,"02G,10F","06D,10B,10F,10H",,,,2,"06D,10B,10F,10H",20220322,20230427,,,,20230427
73,40366879-20210811,40366879,A,40366879,LA FUSTA RESTAURANT,40.7447068,-73.88456967,5,Training,8.692115402,6.384398971,7.237914642,12,5,,,,"05E,10B",06E,,,,2,06E,20210811,20221102,,,,20221102
74,40366928-20220803,40366928,A,40366928,RICHMOND COUNTY COUNTRY CLUB,40.5879359,-74.10407271,3,Training,12.85563629,12.85563629,14.57427685,13,,,,,"04N,08A,10B",,,,,1,"04N,08A,10B",20220803,,,,,20220803
75,40366938-20220203,40366938,B,40366938,LULU'S COFFEE SHOP,40.83170704,-73.85099931,1,Training,26.3803327,26.3803327,29.90705894,26,,,,,"02B,06C,06D,10B,10F,10H",,,,,1,"02B,06C,06D,10B,10F,10H",20220203,,,,,20220203
76,40366961-20220311,40366961,A,40366961,MITCHELL'S RESTAURANT,40.67885037,-73.96841748,3,Training,9.940121461,12.19624121,13.82672875,11,12,,,,"04L,08A","02G,10G",,,,2,"02G,10G",20220311,20230427,,,,20230427
77,40367005-20240102,40367005,A,40367005,DA VINCI PIZZA,40.61897968,-73.99034286,0,Test,12.71282293,12.81940399,14.53320074,13,13,11,,,"02G,10F","04M,08A,10B,10F","02G,10F,10H",,,3,"02G,10F,10H",20210830,20221128,20240102,,,20240102
78,40367038-20231026,40367038,A,40367038,MEXICO LINDO RESTAURANT,40.73964407,-73.97961494,1,Test,12.63306312,12.76950688,14.476633,12,13,,,,"02G,06C","04H,06C",,,,2,"04H,06C",20220302,20231026,,,,20231026
79,40367179-20220228,40367179,A,40367179,TWINS PUB,40.75305399,-73.99655669,3,Training,12.27743862,11.10878004,12.59388739,12,10,,,,"04L,08A,10B","04L,08A",,,,2,"04L,08A",20220228,20221115,,,,20221115
80,40367189-20210826,40367189,A,40367189,BROOME STREET BAR,40.72311686,-74.00312428,3,Training,9.940121461,10.07971575,11.42724985,9,10,10,,,"04L,08A","04L,08A","04K,04L,08A",,,3,"04K,04L,08A",20210826,20220113,20221213,,,20221213
81,40367232-20221221,40367232,A,40367232,O'HANLON'S PUB,40.77494827,-73.9121196,0,Training,5.062954488,5.062050609,5.738784557,8,4,,,,"06D,08C","08C,10F",,,,2,"08C,10F",20210721,20221221,,,,20221221
82,40367240-20200125,40367240,A,40367240,CHARLIES SPORTS BAR,0,0,0,Training,12.40224487,10.77725274,12.21803897,11,10,,,,"04K,08A,10F",05D,,,,2,05D,20200125,20220728,,,,20220728
83,40367241-20220405,40367241,A,40367241,JG MELON RESTAURANT,40.7711925,-73.95953182,0,Training,10.04406584,10.25424806,11.62511499,9,10,,,,"02H,10F","04N,08A",,,,2,"04N,08A",20220405,20231027,,,,20231027
84,40367338-20230324,40367338,A,40367338,"TAP ROOM, GRAB & GO",40.76671822,-73.97873659,0,Test,6.692357158,6.931535989,7.858197153,7,11,,,,04H,"10B,10E,10F",,,,2,"10B,10E,10F",20220216,20230324,,,,20230324
85,40367339-20231214,40367339,A,40367339,COCKTAIL ROOM (NYAC),40.76671822,-73.97873659,5,Test,2.215670498,2.215670498,2.51187841,2,,,,,09E,,,,,1,09E,20231214,,,,,20231214
86,40367365-20230120,40367365,A,40367365,THE FLAME DINER,40.76843198,-73.98534267,6,Test,12.80490015,12.21006128,13.84239639,9,8,12,,,"02B,10I","06D,10F","02B,06C",,,3,"02B,06C",20210726,20220721,20230120,,,20230120
87,40367373-20220217,40367373,A,40367373,JACKSON HOLE,40.76430997,-73.96345643,5,Training,11.86520878,10.95674965,12.42153241,13,10,,,,"04J,10B,10H","02B,10H",,,,2,"02B,10H",20220217,20230405,,,,20230405
88,40367377-20230202,40367377,A,40367377,ZUM STAMMTISCH,40.7018689,-73.88159658,0,Test,2.783646179,5.113690448,5.797328007,2,13,3,,,10I,"04N,08A,09C,10B",10F,,,3,10F,20200312,20220106,20230202,,,20230202
89,40367442-20220523,40367442,A,40367442,BUDDY'S WONDER BAR,40.63675542,-74.13493705,3,Training,12.42311584,12.42311584,14.08393373,12,,,,,"04L,08A,08C",,,,,1,"04L,08A,08C",20220523,,,,,20220523
90,40367728-20221018,40367728,A,40367728,MIMIS RESTAURANT & BAR,40.7562169,-73.96752881,3,Training,10.77521965,8.926993349,10.12042264,5,12,,,,06E,"04L,04M,08A",,,,2,"04L,04M,08A",20210901,20221018,,,,20221018
91,40367749-20210720,40367749,A,40367749,LENNY'S CLAM BAR,40.65555094,-73.83896749,0,Training,12.16776781,12.16066718,13.78639891,11,11,,,,"02B,10F,10J","06D,08C,10F",,,,2,"06D,08C,10F",20210720,20230313,,,,20230313
92,40367752-20220307,40367752,A,40367752,GRIFFIS FACULTY CLUB,40.76415611,-73.95528359,3,Training,12.3303282,10.91861854,12.37830363,13,10,,,,"04L,08A,09C","02I,06F",,,,2,"02I,06F",20220307,20230425,,,,20230425
93,40367789-20220106,40367789,A,40367789,DANI PIZZA AND RESTAURANT,40.70886695,-73.83043401,1,Training,13.0423944,12.93157565,14.66036837,12,13,,,,"02G,06C","06C,06D,10B",,,,2,"06C,06D,10B",20220106,20221219,,,,20221219
94,40367790-20230117,40367790,A,40367790,MCDONALD'S,40.64872319,-73.95829825,0,Test,2.783646179,6.176730348,7.002483276,9,8,11,5,,"06D,10F","06C,10B","02G,10B,10F",10F,,4,10F,20210722,20210914,20220921,20230117,,20230117
95,40367841-20231030,40367841,A,40367841,CAFE FIORELLO,40.77151115,-73.98215045,0,Test,14.5254528,14.15071481,16.04249145,12,13,,,,"03A,10B","04M,08A,10B,10F",,,,2,"04M,08A,10B,10F",20220321,20231030,,,,20231030
96,40367860-20221020,40367860,A,40367860,L&B SPUMONI GARDENS,40.59439352,-73.981359,1,Training,13.0423944,12.47940203,14.1477447,10,12,,,,"04M,04N,08A","02G,06C",,,,2,"02G,06C",20210806,20221020,,,,20221020
97,40367870-20230309,40367870,A,40367870,AMORE PIZZERIA & RESTAURANT,40.76965881,-73.83469397,3,Test,13.1125368,12.08008001,13.69503822,7,13,,,,02G,"04L,04M,08A,10B",,,,2,"04L,04M,08A,10B",20211025,20230309,,,,20230309
98,40368018-20220414,40368018,A,40368018,THE PATIO,40.85053675,-73.88245508,0,Training,10.3996766,10.45075022,11.84788707,9,7,,,,"02G,10F","06D,10F",,,,2,"06D,10F",20220414,20230510,,,,20230510
99,40368021-20190522,40368021,A,40368021,ZOO BREWS-BRONX ZOO,40.85053675,-73.88245508,0,Training,2.783646179,2.363196787,2.679127151,2,2,,,,10F,10B,,,,2,10B,20190522,20220414,,,,20220414
100,40368022-20170613,40368022,A,40368022,GRIZZLY GROUNDS,40.85053675,-73.88245508,0,Training,2.783646179,6.434791625,7.295044173,2,10,8,,,10F,05D,"06D,10F",,,3,"06D,10F",20170613,20180530,20190529,,,20190529
101,40368025-20190522,40368025,A,40368025,THE PECKING ORDER,40.85053675,-73.88245508,0,Training,2.783646179,2.772328623,3.142954884,2,5,,,,10F,06D,,,,2,06D,20190522,20210729,,,,20210729
102,40368026-20180613,40368026,A,40368026,SOMBA VILLAGE (BABOON CAFE),40.85053675,-73.88245508,0,Training,2.783646179,5.399479457,6.121323494,5,2,8,,,06C,10F,02G,,,3,02G,20170614,20180613,20190522,,,20190522
103,40368034-20220215,40368034,A,40368034,ROADHOUSE RESTAURANT,40.61336685,-74.10045673,1,Training,10.56680781,10.56680781,11.97946013,10,,,,,"06A,06C",,,,,1,"06A,06C",20220215,,,,,20220215
104,40368157-20231128,40368157,A,40368157,ELEPHANT & CASTLE,40.73631373,-74.0009418,0,Test,10.27535107,9.762054812,11.06712155,5,9,,,,04L,"02B,10F",,,,2,"02B,10F",20210817,20231128,,,,20231128
105,40368207-20220304,40368207,A,40368207,MILL BASIN KOSHER DELI,40.61531418,-73.91841052,3,Training,12.27743862,11.10878004,12.59388739,12,11,,,,"04L,08A,10B","04L,08A",,,,2,"04L,08A",20220304,20220819,,,,20220819
106,40368223-20240118,40368223,A,40368223,OYSTER BAR,40.75251382,-73.97730464,0,Test,4.894065196,5.58167777,6.327879483,10,5,,,,"04N,08A","10B,10F",,,,2,"10B,10F",20220927,20240118,,,,20240118
107,40368291-20221007,40368291,A,40368291,COLONNADE DINER,40.58116391,-74.09854329,0,Training,10.3996766,10.91533542,12.3745816,12,12,8,10,,"02H,06C","02G,10F","06D,10F","06D,06F",,4,"06D,06F",20210830,20221007,20230301,20231031,,20231031
108,40368313-20220110,40368313,A,40368313,RED FLAME DINER,40.7556272,-73.98193815,0,Training,7.952513218,7.935797959,8.996716605,9,13,,,,"06E,10F","06D,06F,10H",,,,2,"06D,06F,10H",20220110,20230405,,,,20230405
109,40368338-20191219,40368338,A,40368338,BRADY'S BAR,40.77543362,-73.95353209,3,Training,14.82535424,14.82535424,16.80732188,13,12,,,,"04L,08A,08C,10H","06D,08C,10F",,,,2,"06D,08C,10F",20191219,20221107,,,,20221107
110,40368555-20230831,40368555,A,40368555,IL CORTILE RESTAURANT,40.71789085,-73.9981061,1,Test,12.77367622,12.77367622,14.48135973,13,,,,,"02H,06C",,,,,1,"02H,06C",20230831,,,,,20230831
111,40368577-20230111,40368577,A,40368577,DENNY'S PUB,40.64293186,-73.97886988,5,Test,7.271742628,7.271742628,8.243885238,8,,,,,04H,,,,,1,04H,20230111,,,,,20230111
112,40368632-20220201,40368632,A,40368632,NEW PARKWAY RESTAURANT,40.62019578,-74.00754646,3,Training,9.940121461,9.940121461,11.26899352,9,15,,,,"04L,08A","02H,06D,06E,10B",,,,2,"02H,06D,06E,10B",20220201,20230424,,,,20230424
113,40368725-20231115,40368725,A,40368725,CAFE RIAZOR,40.74043912,-74.00002526,0,Test,12.3921422,12.01963924,13.62651727,9,13,,,,"04N,08A","04A,10F",,,,2,"04A,10F",20220105,20231115,,,,20231115
114,40368763-20220215,40368763,A,40368763,THE BROOK,40.75942659,-73.97154121,0,Training,2.783646179,2.772328623,3.142954884,2,10,,,,10F,"06D,09C",,,,2,"06D,09C",20220215,20230502,,,,20230502
115,40368801-20220204,40368801,A,40368801,MARBELLA RESTAURANT,40.76160163,-73.76075972,0,Training,11.90246521,11.97659809,13.57772205,11,7,,,,"04H,10B,10F","06D,10B",,,,2,"06D,10B",20220204,20230103,,,,20230103
